Blog	kids	golden	catchy	therefore	travel	fit	songwriter	effects	needed	friend	feeling	mouth	singer	saying	rich	lots	nature	dave	split	crowd	bottom	role	roll	minute	working	originally	following	didn	seriously	internet	wrong	turned	west	formed	photos	former	pull	dirty	small	past	hasn	full	november	experience	followed	door	company	learn	huge	paper	scott	roots	self	singles	sometimes	project	parents	couple	chorus	influence	makes	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	hand	musical	thanks	born	available	turns	gun	guy	extra	lounge	kurt	brain	non	drop	yeah	tried	tomorrow	caught	vocals	verse	gonna	fully	start	stars	poor	month	streets	learned	tracks	ask	almost	evening	heavy	american	grey	albums	feels	culture	close	pictures	missing	forgotten	lived	lives	smart	grand	friends	obviously	popular	e	wave	telling	michael	ryan	camera	meet	including	special	sitting	times	probably	hits	tuesday	party	http	lost	lose	north	beats	star	stay	sorry	likely	men	met	recordings	fantastic	room	amazing	third	personal	ears	tiny	seven	yes	yet	save	deal	dead	magazine	journey	weekend	happening	father	round	okay	filled	box	boy	bob	visit	fuck	interesting	performance	morning	wonder	label	enough	across	august	tour	among	wake	images	each	saturday	u	hour	needs	coming	point	century	cut	absolutely	epic	planet	entire	talent	closing	y	despite	however	johnny	hair	school	blue	leaves	excellent	drummer	alex	bridge	hopefully	news	n	sings	gave	stuck	setting	picture	level	posts	goes	andy	figure	turn	sure	later	jazz	quiet	featuring	direction	andrew	spirit	case	without	moon	list	sun	version	flat	rather	short	clouds	hill	friday	story	store	king	electric	wrote	solo	attention	sweet	questions	range	nick	nice	include	melodies	folk	leaving	edit	g	unknown	why	fear	feat	bought	joy	job	april	perhaps	promise	incredible	hurt	machine	wind	wasn	listen	person	released	theme	unfortunately	fair	child	possible	possibly	unique	steps	energy	happy	team	current	bloody	winter	spot	date	records	prince	future	guitar	pop	went	industry	act	image	gone	original	section	hours	pick	action	keeping	beautiful	sense	station	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	set	sex	sea	whole	synth	fire	funny	recent	anything	link	line	mood	miles	bird	led	standing	doubt	animal	kiss	david	clearly	hope	edition	drum	co	cd	colour	moments	appeared	stage	sister	official	francisco	ii	green	somewhere	dj	de	com	voice	kept	fight	together	p	change	december	remember	cold	half	hall	entirely	el	en	ex	ep	space	shows	size	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	expect	describe	moved	strong	ahead	musically	food	neil	robert	since	bass	towards	pretty	kind	during	won	genre	liked	wait	else	used	march	run	seeing	himself	doesn	depth	download	attack	ben	bed	anyway	written	sold	addition	kick	sonic	ha	recommend	type	tell	give	somewhat	acoustic	surprise	isn	loud	hook	girls	matter	points	stop	near	shame	www	normal	form	classic	shit	felt	fell	string	effort	growing	crazy	pink	sunday	guys	grow	maybe	vinyl	question	pain	paid	behind	reading	jr	margin	middle	same	totally
Flatbasset	1	0	2	0	0	2	2	0	0	4	0	2	4	0	0	1	0	0	1	0	0	2	3	1	2	0	2	5	0	8	1	2	6	0	0	0	1	1	1	1	1	14	3	3	1	3	0	0	2	1	2	1	4	1	0	3	0	10	5	0	10	2	1	0	3	0	0	6	5	0	1	1	1	5	7	2	0	1	2	3	2	1	0	2	0	0	2	0	2	3	0	10	0	1	2	0	0	0	0	0	3	2	2	4	0	1	1	2	1	0	0	1	3	0	12	1	1	6	0	6	0	2	3	0	35	6	1	3	0	0	0	1	0	1	0	6	0	0	1	0	2	1	8	0	0	1	3	2	1	6	5	0	4	0	6	0	3	5	2	3	4	2	2	0	0	2	0	0	3	4	0	2	0	1	14	0	4	4	0	0	4	0	0	0	0	0	1	2	2	0	1	0	0	1	1	4	3	1	0	1	0	0	0	9	1	1	3	1	5	6	0	1	2	1	4	1	0	0	0	1	15	2	0	2	0	1	3	1	2	0	2	0	2	3	2	0	0	1	0	6	1	0	0	3	24	2	4	1	0	2	4	3	1	2	5	2	3	4	0	6	1	0	1	0	3	0	2	0	2	3	2	5	1	0	7	4	0	0	1	0	0	0	0	2	2	0	1	1	1	1	2	7	0	0	3	0	2	17	0	3	0	3	0	0	1	0	1	6	2	1	2	8	2	8	5	1	6	2	7	5	24	2	1	1	7	1	0	1	0	5	0	2	2	2	1	1	38	0	1	8	3	0	0	0	3	7	0	10	4	0	0	3	0	2	1	0	5	3	3	2	0	0	0	1	0	13	0	3	1	4	1	1	0	0	0	1	1	1	0	0	0	2	0	0	3	3	0	1	0	1	12	10	1	1	3	5	11	1	1	0	0	0	21	2	4	0	0	3	0	7	0	2	0	7	2	0	2	0	4	0	0	0	0	1	0	1	2	0	9	3	0	6	3	0	6	0	0	1	5	0	6	0	0	1	12	0	5	0	0	1	8	1	0	3	3	2	0	1	2	4	51	0	2	1	3	10	3	1	1	0	21	2	0	0	0	1	5	2	4	0	1	1	1	1	1	2	3	0	1	0	0	0	0	4	2	0	1	0	4	1
Party Full of Strangers	0	1	4	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	3	3	0	0	1	0	0	0	1	0	0	2	1	2	0	0	1	0	0	3	1	0	0	1	1	0	0	2	1	0	0	2	0	1	1	2	0	0	3	1	0	0	1	0	3	4	0	0	0	2	0	0	0	0	0	10	0	0	2	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	0	2	1	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	2	2	1	0	1	2	0	2	1	0	0	1	0	2	0	5	1	0	1	0	0	2	2	3	0	0	1	0	0	1	0	0	0	2	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	2	0	0	1	1	0	0	1	0	0	6	1	2	0	0	0	0	3	0	2	0	4	0	0	1	2	2	1	0	0	2	0	0	0	0	0	3	0	0	0	7	0	0	0	2	0	0	0	0	1	0	1	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	7	1	0	0	0	1	0	0	1	1	2	0	0	1	0	0	5	1	2	0	1	1	0	0	5	0	0	2	1	2	0	1	3	6	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	3	2	0	3	0	1	1	2	0	3	1	1	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	11	0	2	0	1	1	2	0	2	2	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	4	1	0	3	0	0	0	1	1	1	0	1	0	0	3	0	0	0	0	1	1	4	0	1	2	0	0	0	0	3	12	0	1	0	0	0	1	1	0	2	0	0	3	1
SEM REGRAS	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	4	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	3	0	0	4	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	25	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	4	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	7	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	2	0	1	3	0	0	0	4	0	0	0	2	0	0	0	0	0	6	0	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	3	10	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Pithy Title Here	10	0	3	0	13	7	1	2	6	13	12	3	7	17	8	2	1	1	0	12	5	5	5	4	4	0	3	22	5	9	13	3	11	0	0	0	6	1	6	11	4	16	0	6	8	5	1	3	9	1	0	2	2	3	7	0	2	7	6	1	22	2	2	3	18	5	1	3	3	7	3	3	12	1	22	9	12	5	1	13	4	4	7	0	0	2	2	2	3	8	5	1	0	4	1	18	14	4	0	0	4	2	4	15	1	6	5	4	1	2	2	27	3	4	4	3	2	11	4	19	2	5	14	0	25	7	12	9	2	4	0	2	5	8	0	11	4	0	3	2	5	0	1	0	3	5	1	6	13	35	7	2	6	0	9	10	7	3	3	6	0	12	0	3	0	5	8	21	3	2	3	0	4	14	12	8	7	4	0	0	8	3	2	0	0	5	4	4	8	1	2	4	4	7	2	0	27	4	5	2	5	3	0	11	1	1	6	7	6	21	2	7	17	4	0	4	1	6	5	4	5	0	0	5	2	4	0	0	0	3	5	5	1	5	4	3	1	2	6	4	12	0	6	16	39	9	2	1	5	1	1	1	10	15	1	21	1	3	3	13	7	0	0	1	6	3	1	3	2	0	8	0	3	0	0	11	4	1	0	4	0	0	0	19	2	0	1	1	5	0	7	2	1	4	9	1	12	18	20	0	9	2	5	2	6	6	0	6	4	11	18	5	5	0	15	2	1	0	1	13	33	12	5	4	0	5	5	5	4	8	3	4	4	8	5	2	8	8	15	0	6	1	5	2	7	10	5	15	27	2	4	13	2	12	3	3	24	2	26	5	10	0	3	1	3	0	3	1	4	17	0	3	1	0	0	12	3	10	1	3	4	1	11	4	1	0	0	9	3	5	24	3	17	2	7	3	13	4	5	0	1	1	3	4	7	3	1	7	3	13	4	0	3	26	8	1	3	1	15	2	2	5	3	6	0	18	0	1	32	2	0	29	27	1	11	4	0	5	12	19	1	30	10	5	23	1	6	9	0	1	3	2	0	0	1	1	0	2	4	17	14	3	1	2	25	8	4	10	8	6	14	4	3	0	10	4	8	2	9	2	1	5	1	8	0	2	12	0	26	0	4	3	2	6	4	0	4	12	34	2
MTJR RANTS & RAVES ON MUSIC	5	10	7	0	3	2	22	3	5	10	11	4	30	3	6	4	8	15	7	5	29	3	18	6	17	8	23	7	1	2	5	8	10	18	4	6	4	5	14	17	0	56	21	20	9	4	2	3	9	3	12	5	25	11	6	26	1	9	7	9	11	4	13	5	21	2	1	34	9	12	82	1	19	14	1	13	3	1	2	4	18	18	1	13	9	28	33	9	3	11	29	4	13	10	11	7	3	0	0	8	2	5	3	1	2	3	3	38	2	1	7	6	7	2	5	3	3	63	1	13	4	15	17	5	41	10	9	3	0	4	1	4	13	2	2	15	2	3	9	16	1	11	5	0	1	28	7	4	12	2	10	1	5	0	23	3	8	5	7	6	4	1	11	3	33	10	8	8	21	18	6	4	8	35	30	1	6	17	4	6	2	3	3	3	0	9	27	12	7	3	3	4	16	9	4	25	10	13	9	21	4	5	2	34	1	9	4	6	14	13	14	14	0	12	8	7	4	3	2	4	8	5	1	9	11	1	5	16	9	3	0	2	24	4	0	2	5	6	5	0	10	4	2	7	3	14	5	6	16	10	3	15	4	18	8	7	6	20	1	10	4	6	3	1	16	9	1	9	6	42	2	13	4	14	6	1	14	11	18	4	3	5	5	11	0	4	3	10	1	13	5	2	4	2	24	2	9	8	4	52	58	1	1	3	6	1	24	2	9	5	3	6	1	1	4	19	36	2	10	72	80	5	2	11	8	4	29	4	4	2	2	4	17	23	2	2	65	2	2	11	5	3	4	5	4	14	0	12	58	0	14	14	23	8	0	6	15	3	23	10	2	8	6	5	2	8	0	21	3	7	48	12	15	110	4	7	6	9	5	4	14	11	8	3	8	8	3	39	7	1	29	1	4	9	2	11	18	9	6	4	27	5	53	39	16	81	2	1	1	16	1	1	2	11	2	3	82	0	8	2	6	7	3	4	10	2	4	8	45	31	4	3	10	24	6	12	2	1	6	12	6	5	2	6	5	3	5	3	19	3	2	20	8	14	4	35	1	0	3	10	13	2	13	5	3	2	4	15	12	4	3	3	2	0	54	25	31	4	10	1	13	12	9	1	2	0	2	4	7	22	6	4	1	13	7	6	54	0	22	0
My Name Is Blue Canary	10	0	3	0	1	3	1	0	5	6	4	0	0	6	0	5	0	0	1	10	1	0	1	7	2	1	4	22	2	0	3	6	0	0	4	0	0	0	4	1	1	6	8	5	6	3	4	0	2	1	3	0	0	0	1	1	2	4	1	0	3	1	0	3	3	2	2	1	0	0	0	4	1	0	4	2	1	1	3	0	0	1	0	0	0	1	13	0	0	1	4	7	2	1	1	0	20	5	2	0	1	0	0	5	0	1	0	1	5	4	1	8	0	0	3	0	2	5	4	7	4	0	0	0	2	0	3	3	3	3	1	1	0	0	0	7	0	1	2	0	0	0	0	1	3	3	5	4	13	7	1	0	2	4	4	0	0	1	0	0	1	2	1	4	2	1	2	0	0	3	0	3	0	4	7	0	2	4	0	0	2	0	0	1	3	3	1	1	0	1	1	8	22	0	0	2	8	4	1	20	2	0	0	6	1	0	4	2	5	19	0	3	4	1	1	5	6	0	2	2	2	1	0	11	5	0	1	4	0	1	1	0	2	0	5	1	0	3	2	1	0	0	3	4	19	9	0	2	0	0	0	0	3	8	5	4	5	10	1	2	4	0	0	0	17	3	5	0	3	9	2	1	0	0	0	3	3	1	0	1	0	0	0	9	0	0	0	1	2	11	2	0	1	1	2	0	12	1	5	8	3	2	0	0	2	5	4	1	2	40	3	0	0	0	1	3	2	0	3	8	0	7	1	1	2	5	13	2	2	4	0	3	5	2	0	1	0	3	0	1	12	3	0	0	8	19	1	3	13	1	0	13	0	1	5	2	4	1	13	0	1	1	0	7	2	0	1	1	2	13	0	10	0	1	0	1	4	33	0	2	0	0	3	4	4	0	8	2	5	1	4	0	3	1	10	4	6	5	1	0	1	0	0	1	26	1	2	0	8	7	0	2	3	5	3	3	4	0	4	4	1	2	0	1	1	1	0	0	13	10	1	18	15	9	2	1	2	6	4	3	5	2	3	5	4	0	1	0	1	1	4	14	1	2	3	0	0	0	0	11	5	3	1	5	1	6	0	1	1	0	1	4	2	7	1	2	1	0	6	0	0	0	0	18	7	1	13	0	7	8	3	0	0	3	7	0	0	11	8	6
Web Science and Digital Libraries Research Group	7	0	0	2	2	1	0	0	4	1	1	0	1	0	0	2	3	3	9	1	3	9	0	5	13	3	26	2	0	29	2	0	0	1	1	1	2	0	11	9	0	13	7	12	13	0	7	11	0	37	6	0	4	0	3	49	1	4	0	5	10	1	11	1	1	0	6	4	1	0	2	0	1	0	4	7	5	7	6	2	1	5	8	13	2	0	3	0	5	0	0	5	4	35	0	0	1	1	0	0	1	7	0	0	2	0	0	0	0	0	2	9	0	0	4	0	7	1	5	8	6	1	0	0	0	0	2	4	5	5	0	0	2	3	0	5	2	9	34	0	0	27	1	0	4	18	9	0	8	8	0	3	0	78	2	0	2	0	0	1	0	1	3	7	1	1	7	15	8	8	0	0	6	2	6	2	2	0	5	5	0	1	1	0	0	1	6	0	0	12	0	9	1	5	0	0	5	11	6	2	10	1	25	40	0	5	8	11	0	8	1	0	0	0	0	5	0	6	0	0	15	0	0	7	0	1	9	0	3	3	1	13	2	0	21	1	5	4	12	1	5	1	41	0	2	10	0	1	1	0	2	6	17	9	1	8	7	12	3	4	16	2	2	6	10	7	1	1	1	0	1	1	15	4	5	7	7	0	0	1	3	22	2	9	0	0	0	0	7	3	1	0	2	0	7	0	0	1	4	7	0	7	10	0	9	3	1	2	2	0	18	17	0	1	0	19	3	0	15	0	0	9	8	1	26	0	12	11	10	1	1	3	14	0	2	28	3	2	0	4	24	0	2	9	8	2	3	3	16	0	0	3	0	0	0	11	1	12	26	0	1	0	3	1	0	1	0	7	3	0	0	0	26	0	0	0	2	1	0	3	2	1	6	1	1	13	60	0	1	0	8	2	10	7	1	1	1	0	1	2	6	1	0	11	22	2	4	4	0	3	27	1	1	4	5	1	3	0	3	2	3	2	0	0	0	1	0	0	16	0	3	3	2	22	3	0	3	0	2	50	41	5	0	3	4	0	10	0	0	0	0	5	0	8	1	0	0	5	14	3	8	2	0	0	2	0	0	6	2	3	0	3	0	18	0	3	0	0	2	1	6	3	1	0	0	0	0	1	2	0	9	0	2	1	3	0	0	2	18	1
Steel City Rust	1	0	1	0	0	1	0	0	0	0	4	0	2	1	1	0	0	1	0	0	0	0	2	0	2	0	1	11	2	0	0	6	1	0	3	1	1	0	1	1	2	3	0	7	0	2	3	0	1	0	1	0	3	1	3	0	0	4	0	0	12	0	0	1	2	1	0	0	1	1	0	2	0	0	5	3	1	1	0	1	0	2	0	0	0	1	2	0	0	0	3	5	1	0	4	0	2	0	0	0	3	2	0	4	0	0	1	7	0	1	0	5	0	1	1	0	1	3	0	4	0	0	1	0	2	2	0	3	2	2	2	0	3	0	0	2	1	0	4	0	1	0	0	1	0	0	0	1	2	2	0	1	1	0	1	1	1	1	3	0	2	0	1	0	0	4	1	0	1	3	0	0	1	5	3	2	0	0	1	0	2	0	0	0	1	1	0	2	0	2	2	6	1	0	3	0	9	1	2	2	1	0	0	0	1	0	3	0	4	7	2	2	0	3	2	1	1	2	5	8	1	0	0	1	8	0	0	4	0	8	0	0	2	0	1	2	0	2	0	0	2	0	0	9	6	4	0	0	1	0	0	0	2	8	1	1	0	0	0	7	3	0	0	1	5	0	2	0	2	2	0	1	1	0	0	5	0	1	0	1	1	3	0	3	0	0	0	0	5	0	0	0	0	0	3	0	2	6	0	0	0	1	0	0	1	0	4	0	3	3	1	1	0	0	6	1	3	0	0	5	10	7	0	0	0	1	5	1	0	3	3	2	2	4	3	1	2	0	2	0	4	0	1	0	2	1	1	2	1	0	0	2	0	0	4	1	4	3	6	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	3	0	0	3	0	2	1	3	0	2	0	0	3	0	0	0	1	5	1	1	0	0	2	0	1	2	7	7	2	2	1	0	1	0	0	1	1	0	0	6	3	5	3	0	13	3	1	1	0	6	2	1	4	0	4	1	1	4	0	0	1	0	0	0	1	1	1	0	1	0	1	1	3	1	4	0	4	2	0	4	0	0	2	1	3	0	0	0	2	3	1	2	0	0	1	0	1	1	0	2	0	8	2	0	0	0	5	3	0	0	1	7	0
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60@60 Sounding Booth	1	0	0	0	0	0	0	0	0	4	0	1	1	0	0	2	2	1	0	0	0	0	3	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	3	2	8	0	0	1	1	4	0	0	0	1	4	1	0	2	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	3	0	1	1	0	0	0	0	1	2	1	0	0	1	0	1	0	1	0	3	1	1	0	1	0	2	0	0	0	2	2	0	20	2	2	0	0	0	0	0	1	0	0	2	0	0	2	1	0	1	4	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	9	1	0	0	1	0	2	0	1	0	0	0	0	0	1	1	3	2	0	4	0	0	1	2	1	0	0	0	1	2	6	0	0	1	0	2	0	0	0	1	1	1	0	3	0	0	0	4	0	0	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	2	14	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	3	0	4	0	0	1	0	1	1	0	1	0	1	5	0	4	1	0	0	1	0	0	1	3	0	3	5	0	0	0	3	0	0	1	0	0	0	3	0	0	3	0	3	1	0	0	1	0	0	0	0	0	0	2	6	0	0	0	23	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	5	0	0	0	1	0	0	3	2	2	0	0	0	0	0	1	0	0	1	0	3	0	3	7	0	3	0	0	11	1	2	1	0	0	0	1	1	5	1	0	2	1	13	0	0	0	0	0	0	0	0	0	5	0	0	0	1	3	0	0	0	0	0	0	2	3	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	3	0	1	3	0	0	1	4	3	1	0	0	0	0	0	0	0	0	0	2	2	2	0	0	1	0	1	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	3	2	0	0	0	2	0	0	2	0	0	1	3	0	0	2	0
