TFIDF    TF       IDF       LINK
0.003291 0.000397 8.29 http://store.steampowered.com/app/434500
0.004311 0.000520 8.29 https://twitter.com/supa_fresh_sikh/status/697138682420015104
0.008588 0.001036 8.29 https://www.youtube.com/watch?v=hWaB0vKHIuU&feature=youtu.be&aBlack
0.006624 0.000799 8.29 https://www.youtube.com/watch?v=l-KkCM6onMo&list=PLTYUE9O6WCrgEsQvkKwBWnbPAmZXuOOVV&index=1
0.003316 0.000400 8.29 http://gjjgames.blogspot.ca/2016/01/tabletop-game-giveaways-and-contests.html
0.005231 0.000631 8.29 http://www.polygon.com/2016/2/9/10949002/amazon-lumberyard-free-games-engine?utm_campaign=polygon&utm_content=chorus&utm_medium=social&utm_source=twitter
0.025939 0.003129 8.29 http://www.unravelgame.com/
0.002943 0.000355 8.29 http://www.polygon.com/2016/2/9/10951990/seafall-preview-pandemic-legacy-rob-daviau?utm_campaign=polygon&utm_content=article%25253Atop&utm_medium=social&utm_source=twitter
0.007643 0.000922 8.29 http://www.themisfitsnetwork.com/2016/02/coldwood-interactive-threaded-the-damn-needle-with-their-new-game-unravel/
0.005480 0.000661 8.29 http://www.cnet.com/news/amazon-announces-its-own-game-engine-with-built-in-twitch-support/#ftag=CAD590a51e
0.033135 0.003997 8.29 http://jp.automaton.am/articles/newsjp/fashion-media-editors-review-video-game-characters-outfits/
0.002678 0.000323 8.29 http://ottawacitizen.com/sports/hockey/nhl/senatorsextra/ottawa-senators-get-phaneuf-in-a-nine-player-deal
0.012568 0.001516 8.29 http://www.mralanc.com/category/video-game-giveaways/
0.016870 0.002035 8.29 https://www.youtube.com/watch?v=Z6BYzG3SS58&feature=youtu.be&a
0.002943 0.000355 8.29 http://www.polygon.com/2016/2/9/10951990/seafall-preview-pandemic-legacy-rob-daviau
0.004651 0.000561 8.29 http://indianexpress.com/article/entertainment/bollywood/yash-raj-films-to-back-game-on-shah-rukh-khans-fan/
0.422011 0.050906 8.29 http://www.4gamer.net/games/332/G033200/20160209007/
0.006383 0.000770 8.29 http://www.businessinsider.com/microsoft-puts-red-dead-redemption-on-xbox-one-2016-2
0.018238 0.002200 8.29 http://musichostnetwork.com/southwest-mook-ft-helluva-deep-in-the-game/
0.016447 0.001984 8.29 http://ps3ch.com/contents/game/?gameID=615
